x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,-0.000001
0.05,0.000002
0.055,-0.000004
0.06,0.00001
0.065,-0.000022
0.07,0.000038
0.075,-0.000053
0.08,0.000048
0.085,0.000002
0.09,-0.0001
0.095,0.000178
0.1,-0.000113
0.105,-0.000124
0.11,0.000284
0.115,-0.000034
0.12,-0.000388
0.125,0.000163
0.13,0.000547
0.135,-0.000161
0.14,-0.000875
0.145,-0.000259
0.15,0.001175
0.155,0.001627
0.16,0.000015
0.165,-0.00292
0.17,-0.005039
0.175,-0.003871
0.18,0.002571
0.185,0.01551
0.19,0.035481
0.195,0.062529
0.2,0.096383
0.205,0.136571
0.21,0.182481
0.215,0.233395
0.22,0.288513
0.225,0.346965
0.23,0.407832
0.235,0.470152
0.24,0.532942
0.245,0.595213
0.25,0.655983
0.255,0.714292
0.26,0.769222
0.265,0.819906
0.27,0.865545
0.275,0.905419
0.28,0.9389
0.285,0.965459
0.29,0.984677
0.295,0.996252
0.3,0.999998
0.305,0.995867
0.31,0.983896
0.315,0.964339
0.32,0.937369
0.325,0.903651
0.33,0.863375
0.335,0.817516
0.34,0.766705
0.345,0.711309
0.35,0.653148
0.355,0.592292
0.36,0.529564
0.365,0.467092
0.37,0.405175
0.375,0.343855
0.38,0.285161
0.385,0.230939
0.39,0.180969
0.395,0.134714
0.4,0.093405
0.405,0.059473
0.41,0.034526
0.415,0.018243
0.42,0.008788
0.425,0.003871
0.43,0.001566
0.435,0.000584
0.44,0.000202
0.445,0.000065
0.45,0.000019
0.455,0.000005
0.46,0.000001
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
