x,f(x)
0,0
0.0125,0.000002
0.025,-0.000009
0.0375,0.000037
0.05,-0.000128
0.0625,0.000345
0.075,-0.000668
0.0875,0.000668
0.1,0.000581
0.1125,-0.002797
0.125,0.001574
0.1375,0.005596
0.15,-0.002679
0.1625,-0.015622
0.175,-0.01256
0.1875,0.023848
0.2,0.1003
0.2125,0.213762
0.225,0.354668
0.2375,0.509664
0.25,0.663688
0.2625,0.801681
0.275,0.910155
0.2875,0.978424
0.3,1.00007
0.3125,0.97214
0.325,0.899445
0.3375,0.785367
0.35,0.644712
0.3625,0.493126
0.375,0.334738
0.3875,0.192721
0.4,0.092533
0.4125,0.03716
0.425,0.012617
0.4375,0.003668
0.45,0.000923
0.4625,0.000203
0.475,0.000039
0.4875,0.000007
0.5,0.000001
0.5125,0
0.525,0
0.5375,0
0.55,0
0.5625,0
0.575,0
0.5875,0
0.6,0
0.6125,0
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
