x,f(x)
0,-0.000942
0.005,-0.002287
0.01,0.000841
0.015,0.002929
0.02,-0.001399
0.025,-0.000446
0.03,0.002771
0.035,-0.00281
0.04,-0.003051
0.045,0.004906
0.05,0.000502
0.055,-0.006079
0.06,0.003758
0.065,0.006526
0.07,-0.007121
0.075,-0.004415
0.08,0.010647
0.085,0.001743
0.09,-0.013052
0.095,0.001404
0.1,0.014792
0.105,-0.004219
0.11,-0.016122
0.115,0.006255
0.12,0.017435
0.125,-0.007115
0.13,-0.018959
0.135,0.00644
0.14,0.020627
0.145,-0.003909
0.15,-0.02196
0.155,-0.000626
0.16,0.022008
0.165,0.00689
0.17,-0.019605
0.175,-0.013657
0.18,0.01356
0.185,0.019006
0.19,-0.004133
0.195,-0.020027
0.2,-0.006648
0.205,0.014384
0.21,0.015197
0.215,-0.003406
0.22,-0.016468
0.225,-0.007956
0.23,0.008055
0.235,0.013219
0.24,0.00517
0.245,-0.008607
0.25,-0.012392
0.255,-0.00207
0.26,0.006292
0.265,0.008107
0.27,0.00704
0.275,-0.002839
0.28,-0.011517
0.285,-0.004845
0.29,0.001309
0.295,-0.000078
0.3,0.007938
0.305,0.013795
0.31,-0.000169
0.315,-0.008112
0.32,0.002021
0.325,-0.000188
0.33,-0.00908
0.335,0.012645
0.34,0.047326
0.345,0.059831
0.35,0.080208
0.355,0.139325
0.36,0.197073
0.365,0.225565
0.37,0.269482
0.375,0.35249
0.38,0.425229
0.385,0.462204
0.39,0.510885
0.395,0.597792
0.4,0.676731
0.405,0.713853
0.41,0.746293
0.415,0.812292
0.42,0.884564
0.425,0.918752
0.43,0.925125
0.435,0.946519
0.44,0.98905
0.445,1.016623
0.45,1.007429
0.455,0.982087
0.46,0.969761
0.465,0.968984
0.47,0.954741
0.475,0.91331
0.48,0.856817
0.485,0.805239
0.49,0.763838
0.495,0.721469
0.5,0.666069
0.505,0.597246
0.51,0.524801
0.515,0.458607
0.52,0.401229
0.525,0.348489
0.53,0.294971
0.535,0.238737
0.54,0.182245
0.545,0.130204
0.55,0.086774
0.555,0.053912
0.56,0.031252
0.565,0.016929
0.57,0.008585
0.575,0.004082
0.58,0.001823
0.585,0.000766
0.59,0.000303
0.595,0.000113
0.6,0.00004
0.605,0.000013
0.61,0.000004
0.615,0.000001
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
