x,f(x)
0,0.00012
0.005,0.000298
0.01,0.000178
0.015,0.000184
0.02,0.000212
0.025,0.000008
0.03,0.000118
0.035,0.000076
0.04,-0.000086
0.045,0.000098
0.05,0.000033
0.055,-0.000124
0.06,0.000095
0.065,0.000061
0.07,-0.000156
0.075,0.000052
0.08,0.000142
0.085,-0.000147
0.09,-0.000079
0.095,0.000204
0.1,0.000003
0.105,-0.000233
0.11,0.000062
0.115,0.00025
0.12,-0.000106
0.125,-0.000276
0.13,0.000123
0.135,0.000322
0.14,-0.000099
0.145,-0.000388
0.15,0.000011
0.155,0.000451
0.16,0.00017
0.165,-0.000442
0.17,-0.000438
0.175,0.00025
0.18,0.000686
0.185,0.000222
0.19,-0.000636
0.195,-0.000834
0.2,-0.000045
0.205,0.000986
0.21,0.001136
0.215,0.000158
0.22,-0.001292
0.225,-0.001871
0.23,-0.001062
0.235,0.000967
0.24,0.002934
0.245,0.00352
0.25,0.002141
0.255,-0.001431
0.26,-0.005691
0.265,-0.009442
0.27,-0.010781
0.275,-0.007805
0.28,0.000226
0.285,0.014639
0.29,0.03585
0.295,0.063489
0.3,0.097968
0.305,0.138729
0.31,0.18474
0.315,0.235941
0.32,0.291472
0.325,0.349863
0.33,0.410737
0.335,0.473393
0.34,0.536113
0.345,0.598051
0.35,0.658923
0.355,0.717323
0.36,0.77177
0.365,0.822035
0.37,0.867763
0.375,0.907506
0.38,0.940258
0.385,0.966264
0.39,0.985533
0.395,0.997014
0.4,0.999975
0.405,0.99501
0.41,0.982952
0.415,0.963606
0.42,0.936339
0.425,0.901514
0.43,0.860605
0.435,0.814899
0.44,0.764615
0.445,0.709513
0.45,0.650124
0.455,0.588141
0.46,0.525608
0.465,0.463823
0.47,0.403016
0.475,0.342969
0.48,0.283949
0.485,0.227213
0.49,0.174789
0.495,0.128787
0.5,0.090691
0.505,0.060981
0.51,0.039151
0.515,0.024015
0.52,0.014088
0.525,0.007913
0.53,0.004261
0.535,0.002202
0.54,0.001094
0.545,0.000523
0.55,0.000241
0.555,0.000107
0.56,0.000046
0.565,0.000019
0.57,0.000008
0.575,0.000003
0.58,0.000001
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
