x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0.000003
0.14,0.000019
0.145,0.000089
0.15,0.000318
0.155,0.000927
0.16,0.002305
0.165,0.005031
0.17,0.009856
0.175,0.017637
0.18,0.029234
0.185,0.045406
0.19,0.066722
0.195,0.093511
0.2,0.125848
0.205,0.163566
0.21,0.206294
0.215,0.253496
0.22,0.304502
0.225,0.358553
0.23,0.414815
0.235,0.472413
0.24,0.530442
0.245,0.58799
0.25,0.64415
0.255,0.698036
0.26,0.748799
0.265,0.795639
0.27,0.837815
0.275,0.874665
0.28,0.905605
0.285,0.930149
0.29,0.94791
0.295,0.958606
0.3,0.96207
0.305,0.958247
0.31,0.947197
0.315,0.929094
0.32,0.904225
0.325,0.87298
0.33,0.835854
0.335,0.79343
0.34,0.74638
0.345,0.695443
0.35,0.641425
0.355,0.585176
0.36,0.527584
0.365,0.469556
0.37,0.412009
0.375,0.35585
0.38,0.301963
0.385,0.251198
0.39,0.204342
0.395,0.162096
0.4,0.125018
0.405,0.093467
0.41,0.067545
0.415,0.047059
0.42,0.031538
0.425,0.020293
0.43,0.012519
0.435,0.007398
0.44,0.004184
0.445,0.002264
0.45,0.001172
0.455,0.00058
0.46,0.000275
0.465,0.000125
0.47,0.000054
0.475,0.000023
0.48,0.000009
0.485,0.000003
0.49,0.000001
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
