x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0
0.15,0
0.1625,0.000003
0.175,0.000015
0.1875,0.000058
0.2,0.000189
0.2125,0.00054
0.225,0.001376
0.2375,0.003174
0.25,0.006714
0.2625,0.013144
0.275,0.024
0.2875,0.041122
0.3,0.066474
0.3125,0.101834
0.325,0.148424
0.3375,0.206518
0.35,0.275129
0.3625,0.351854
0.375,0.432913
0.3875,0.513423
0.4,0.587863
0.4125,0.650668
0.425,0.696875
0.4375,0.722715
0.45,0.726078
0.4625,0.706772
0.475,0.666539
0.4875,0.608838
0.5,0.538402
0.5125,0.460645
0.525,0.381026
0.5375,0.304434
0.55,0.234731
0.5625,0.174478
0.575,0.124891
0.5875,0.085991
0.6,0.056883
0.6125,0.036106
0.625,0.021962
0.6375,0.012784
0.65,0.00711
0.6625,0.003772
0.675,0.001906
0.6875,0.000915
0.7,0.000417
0.7125,0.000179
0.725,0.000073
0.7375,0.000028
0.75,0.00001
0.7625,0.000003
0.775,0.000001
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
