x,f(x)
0,0
0.0125,0
0.025,-0.000001
0.0375,0.000011
0.05,-0.00007
0.0625,0.000297
0.075,-0.000783
0.0875,0.001002
0.1,0.000575
0.1125,-0.003512
0.125,0.001556
0.1375,0.007074
0.15,-0.000302
0.1625,-0.012029
0.175,-0.005232
0.1875,0.037741
0.2,0.121896
0.2125,0.242149
0.225,0.387493
0.2375,0.543833
0.25,0.695881
0.2625,0.828755
0.275,0.929449
0.2875,0.988093
0.3,0.99905
0.3125,0.960717
0.325,0.878702
0.3375,0.75683
0.35,0.611931
0.3625,0.459679
0.375,0.302563
0.3875,0.164171
0.4,0.070854
0.4125,0.023925
0.425,0.006251
0.4375,0.001245
0.45,0.000184
0.4625,0.000019
0.475,0.000001
0.4875,0
0.5,0
0.5125,0
0.525,0
0.5375,0
0.55,0
0.5625,0
0.575,0
0.5875,0
0.6,0
0.6125,0
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
