x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0.000002
0.16,0.000005
0.165,0.000015
0.17,0.000041
0.175,0.000102
0.18,0.000232
0.185,0.000496
0.19,0.000995
0.195,0.001884
0.2,0.003387
0.205,0.005803
0.21,0.00951
0.215,0.01496
0.22,0.022657
0.225,0.033132
0.23,0.046905
0.235,0.064445
0.24,0.08613
0.245,0.112217
0.25,0.142817
0.255,0.177881
0.26,0.217205
0.265,0.260433
0.27,0.307076
0.275,0.356534
0.28,0.408118
0.285,0.461071
0.29,0.514594
0.295,0.567864
0.3,0.620051
0.305,0.670339
0.31,0.717939
0.315,0.7621
0.32,0.802127
0.325,0.837389
0.33,0.86733
0.335,0.891478
0.34,0.909452
0.345,0.920969
0.35,0.925847
0.355,0.92401
0.36,0.915485
0.365,0.900408
0.37,0.879016
0.375,0.851647
0.38,0.818732
0.385,0.780791
0.39,0.738421
0.395,0.692291
0.4,0.643129
0.405,0.591708
0.41,0.538839
0.415,0.48535
0.42,0.432077
0.425,0.379839
0.43,0.329425
0.435,0.281564
0.44,0.236905
0.445,0.195989
0.45,0.159224
0.455,0.126867
0.46,0.099011
0.465,0.075587
0.47,0.056373
0.475,0.04102
0.48,0.029085
0.485,0.02007
0.49,0.013462
0.495,0.008767
0.5,0.005536
0.505,0.003387
0.51,0.002004
0.515,0.001146
0.52,0.000633
0.525,0.000337
0.53,0.000173
0.535,0.000085
0.54,0.00004
0.545,0.000018
0.55,0.000008
0.555,0.000003
0.56,0.000001
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
