x,f(x)
0,-0.001824
0.0125,-0.001691
0.025,0.000193
0.0375,-0.001175
0.05,-0.000346
0.0625,0.00126
0.075,-0.001083
0.0875,-0.000982
0.1,0.00201
0.1125,0.000476
0.125,-0.002851
0.1375,-0.000491
0.15,0.003898
0.1625,0.001848
0.175,-0.004656
0.1875,-0.005896
0.2,0.002265
0.2125,0.011028
0.225,0.010537
0.2375,-0.004759
0.25,-0.025156
0.2625,-0.036366
0.275,-0.024999
0.2875,0.024206
0.3,0.109004
0.3125,0.227063
0.325,0.373796
0.3375,0.529791
0.35,0.679794
0.3625,0.816431
0.375,0.923808
0.3875,0.98428
0.4,0.995371
0.4125,0.964006
0.425,0.891553
0.4375,0.775825
0.45,0.624565
0.4625,0.459749
0.475,0.307894
0.4875,0.187566
0.5,0.104219
0.5125,0.05303
0.525,0.024821
0.5375,0.010734
0.55,0.004308
0.5625,0.00161
0.575,0.000563
0.5875,0.000184
0.6,0.000057
0.6125,0.000017
0.625,0.000005
0.6375,0.000001
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
