x,f(x)
0,0.000007
0.005,-0.000005
0.01,0.000012
0.015,-0.000018
0.02,0.000026
0.025,-0.000032
0.03,0.000029
0.035,-0.000011
0.04,-0.000026
0.045,0.000071
0.05,-0.000098
0.055,0.000074
0.06,0.00001
0.065,-0.000107
0.07,0.000129
0.075,-0.000023
0.08,-0.000132
0.085,0.000157
0.09,0.000023
0.095,-0.000206
0.1,0.000106
0.105,0.00019
0.11,-0.000211
0.115,-0.000158
0.12,0.00029
0.125,0.000155
0.13,-0.000354
0.135,-0.000218
0.14,0.000391
0.145,0.000384
0.15,-0.00033
0.155,-0.000647
0.16,0.000019
0.165,0.000839
0.17,0.000672
0.175,-0.000468
0.18,-0.00139
0.185,-0.000983
0.19,0.000675
0.195,0.002345
0.2,0.002566
0.205,0.000655
0.21,-0.002868
0.215,-0.006478
0.22,-0.008188
0.225,-0.006082
0.23,0.00135
0.235,0.015094
0.24,0.035642
0.245,0.063087
0.25,0.09721
0.255,0.137607
0.26,0.183654
0.265,0.234719
0.27,0.289889
0.275,0.348472
0.28,0.409326
0.285,0.471709
0.29,0.534514
0.295,0.596664
0.3,0.657553
0.305,0.715619
0.31,0.770518
0.315,0.821204
0.32,0.866474
0.325,0.90635
0.33,0.939774
0.335,0.965868
0.34,0.985035
0.345,0.996647
0.35,0.999889
0.355,0.995474
0.36,0.983727
0.365,0.963901
0.37,0.936366
0.375,0.902528
0.38,0.862713
0.385,0.816539
0.39,0.764903
0.395,0.709699
0.4,0.651889
0.405,0.591292
0.41,0.528282
0.415,0.464672
0.42,0.402593
0.425,0.343013
0.43,0.285698
0.435,0.230455
0.44,0.178228
0.445,0.131052
0.45,0.091107
0.455,0.059703
0.46,0.036843
0.465,0.02142
0.47,0.011747
0.475,0.006087
0.48,0.002986
0.485,0.00139
0.49,0.000615
0.495,0.000259
0.5,0.000104
0.505,0.00004
0.51,0.000015
0.515,0.000005
0.52,0.000002
0.525,0.000001
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
