x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0.000001
0.15,0.000009
0.1625,0.000053
0.175,0.000219
0.1875,0.00073
0.2,0.00206
0.2125,0.005082
0.225,0.011201
0.2375,0.022402
0.25,0.04115
0.2625,0.070087
0.275,0.111546
0.2875,0.16696
0.3,0.236306
0.3125,0.317719
0.325,0.407395
0.3375,0.499835
0.35,0.588389
0.3625,0.666022
0.375,0.726168
0.3875,0.763546
0.4,0.774821
0.4125,0.759029
0.425,0.717702
0.4375,0.654678
0.45,0.575617
0.4625,0.487258
0.475,0.396551
0.4875,0.309792
0.5,0.231911
0.5125,0.166057
0.525,0.113508
0.5375,0.073918
0.55,0.045761
0.5625,0.02687
0.575,0.014927
0.5875,0.007825
0.6,0.003859
0.6125,0.001784
0.625,0.000771
0.6375,0.000309
0.65,0.000115
0.6625,0.000039
0.675,0.000012
0.6875,0.000003
0.7,0.000001
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
