x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0.000001
0.135,0.000009
0.14,0.000046
0.145,0.000174
0.15,0.000529
0.155,0.001368
0.16,0.003109
0.165,0.006346
0.17,0.011831
0.175,0.020409
0.18,0.032923
0.185,0.050115
0.19,0.072533
0.195,0.10048
0.2,0.133995
0.205,0.172873
0.21,0.216699
0.215,0.264892
0.22,0.31675
0.225,0.371481
0.23,0.428233
0.235,0.486115
0.24,0.544216
0.245,0.601619
0.25,0.657419
0.255,0.710737
0.26,0.760731
0.265,0.806613
0.27,0.84766
0.275,0.883224
0.28,0.912745
0.285,0.935756
0.29,0.951895
0.295,0.960908
0.3,0.962651
0.305,0.957099
0.31,0.944337
0.315,0.924568
0.32,0.898104
0.325,0.865361
0.33,0.826856
0.335,0.783197
0.34,0.735071
0.345,0.683238
0.35,0.628515
0.355,0.571766
0.36,0.513885
0.365,0.455784
0.37,0.398381
0.375,0.342581
0.38,0.289262
0.385,0.23926
0.39,0.19334
0.395,0.152166
0.4,0.116247
0.405,0.085887
0.41,0.061135
0.415,0.041758
0.42,0.027261
0.425,0.01694
0.43,0.009978
0.435,0.005548
0.44,0.002899
0.445,0.001416
0.45,0.000644
0.455,0.000271
0.46,0.000104
0.465,0.000037
0.47,0.000012
0.475,0.000003
0.48,0.000001
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
