x,f(x)
0,-0.000001
0.005,0.000548
0.01,0.00042
0.015,-0.000075
0.02,0.000634
0.025,0.000015
0.03,-0.000537
0.035,0.000857
0.04,-0.000073
0.045,-0.001122
0.05,0.001205
0.055,0.000503
0.06,-0.002069
0.065,0.000862
0.07,0.002175
0.075,-0.002455
0.08,-0.001468
0.085,0.003823
0.09,0.000232
0.095,-0.004784
0.1,0.001156
0.105,0.005421
0.11,-0.002369
0.115,-0.005955
0.12,0.003159
0.125,0.006605
0.13,-0.003308
0.135,-0.007462
0.14,0.002582
0.145,0.008374
0.15,-0.000771
0.155,-0.008855
0.16,-0.002123
0.165,0.008105
0.17,0.005559
0.175,-0.005328
0.18,-0.008184
0.185,0.000454
0.19,0.008078
0.195,0.004973
0.2,-0.004004
0.205,-0.007705
0.21,-0.002615
0.215,0.004872
0.22,0.006867
0.225,0.002328
0.23,-0.004084
0.235,-0.006494
0.24,-0.003679
0.245,0.001668
0.25,0.006282
0.255,0.006476
0.26,0.003573
0.265,-0.000618
0.27,-0.004808
0.275,-0.003876
0.28,0.00263
0.285,0.013883
0.29,0.034586
0.295,0.062529
0.3,0.093927
0.305,0.13471
0.31,0.183106
0.315,0.231026
0.32,0.284792
0.325,0.347859
0.33,0.407749
0.335,0.464811
0.34,0.531251
0.345,0.598619
0.35,0.653551
0.355,0.707719
0.36,0.77058
0.365,0.825007
0.37,0.861703
0.375,0.898313
0.38,0.941895
0.385,0.972802
0.39,0.982173
0.395,0.98815
0.4,1.001234
0.405,1.005364
0.41,0.986849
0.415,0.957192
0.42,0.932972
0.425,0.910177
0.43,0.872966
0.435,0.818508
0.44,0.760033
0.445,0.708061
0.45,0.658599
0.455,0.601429
0.46,0.533972
0.465,0.463663
0.47,0.399266
0.475,0.343013
0.48,0.29089
0.485,0.238317
0.49,0.184658
0.495,0.133338
0.5,0.089014
0.505,0.054764
0.51,0.031037
0.515,0.01622
0.52,0.007829
0.525,0.003496
0.53,0.001447
0.535,0.000555
0.54,0.000198
0.545,0.000066
0.55,0.00002
0.555,0.000006
0.56,0.000002
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
