x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0
0.15,0
0.1625,0.000001
0.175,0.000004
0.1875,0.00002
0.2,0.000081
0.2125,0.000272
0.225,0.000792
0.2375,0.002035
0.25,0.004702
0.2625,0.009891
0.275,0.019138
0.2875,0.034358
0.3,0.057655
0.3125,0.090996
0.325,0.135807
0.3375,0.192547
0.35,0.260376
0.3625,0.336978
0.375,0.418611
0.3875,0.500377
0.4,0.576699
0.4125,0.641914
0.425,0.690929
0.4375,0.719816
0.45,0.72629
0.4625,0.709985
0.475,0.672499
0.4875,0.617179
0.5,0.548691
0.5125,0.472417
0.525,0.393798
0.5375,0.317719
0.55,0.248039
0.5625,0.187333
0.575,0.136856
0.5875,0.096702
0.6,0.066089
0.6125,0.04369
0.625,0.027941
0.6375,0.01729
0.65,0.010355
0.6625,0.006004
0.675,0.003371
0.6875,0.001833
0.7,0.000966
0.7125,0.000494
0.725,0.000245
0.7375,0.000118
0.75,0.000055
0.7625,0.000025
0.775,0.000011
0.7875,0.000005
0.8,0.000002
0.8125,0.000001
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
