x,f(x)
0,0
0.0125,0
0.025,0
0.0375,0
0.05,0
0.0625,0
0.075,0
0.0875,0
0.1,0
0.1125,0
0.125,0
0.1375,0.000471
0.15,0.003649
0.1625,0.014591
0.175,0.04052
0.1875,0.088394
0.2,0.162126
0.2125,0.26092
0.225,0.379159
0.2375,0.50748
0.25,0.634377
0.2625,0.747872
0.275,0.837024
0.2875,0.893162
0.3,0.910809
0.3125,0.888241
0.325,0.827669
0.3375,0.735023
0.35,0.61937
0.3625,0.492034
0.375,0.365476
0.3875,0.251616
0.4,0.159317
0.4125,0.092244
0.425,0.048671
0.4375,0.023365
0.45,0.010205
0.4625,0.004057
0.475,0.00147
0.4875,0.000486
0.5,0.000147
0.5125,0.000041
0.525,0.00001
0.5375,0.000002
0.55,0.000001
0.5625,0
0.575,0
0.5875,0
0.6,0
0.6125,0
0.625,0
0.6375,0
0.65,0
0.6625,0
0.675,0
0.6875,0
0.7,0
0.7125,0
0.725,0
0.7375,0
0.75,0
0.7625,0
0.775,0
0.7875,0
0.8,0
0.8125,0
0.825,0
0.8375,0
0.85,0
0.8625,0
0.875,0
0.8875,0
0.9,0
0.9125,0
0.925,0
0.9375,0
0.95,0
0.9625,0
0.975,0
0.9875,0
1,0
