x,f(x)
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0.000001
0.22,0.000001
0.225,0.000003
0.23,0.000007
0.235,0.000016
0.24,0.000033
0.245,0.000066
0.25,0.000126
0.255,0.000233
0.26,0.000416
0.265,0.000719
0.27,0.001206
0.275,0.001962
0.28,0.003103
0.285,0.004779
0.29,0.007173
0.295,0.010507
0.3,0.015037
0.305,0.021049
0.31,0.028852
0.315,0.038763
0.32,0.051098
0.325,0.066151
0.33,0.08418
0.335,0.105392
0.34,0.129925
0.345,0.157839
0.35,0.189102
0.355,0.223592
0.36,0.26109
0.365,0.301284
0.37,0.343777
0.375,0.388093
0.38,0.433691
0.385,0.479976
0.39,0.526315
0.395,0.572052
0.4,0.616521
0.405,0.65906
0.41,0.699028
0.415,0.735814
0.42,0.768855
0.425,0.797636
0.43,0.821713
0.435,0.840708
0.44,0.854326
0.445,0.862353
0.45,0.864664
0.455,0.861222
0.46,0.852084
0.465,0.837392
0.47,0.817379
0.475,0.792359
0.48,0.762727
0.485,0.728946
0.49,0.691546
0.495,0.651109
0.5,0.60826
0.505,0.563655
0.51,0.517967
0.515,0.471869
0.52,0.426019
0.525,0.381048
0.53,0.337536
0.535,0.296004
0.54,0.256895
0.545,0.220566
0.55,0.187283
0.555,0.157212
0.56,0.130425
0.565,0.106902
0.57,0.086544
0.575,0.069183
0.58,0.054596
0.585,0.042523
0.59,0.032681
0.595,0.024781
0.6,0.018535
0.605,0.013674
0.61,0.009948
0.615,0.007137
0.62,0.005048
0.625,0.003521
0.63,0.002421
0.635,0.001641
0.64,0.001097
0.645,0.000723
0.65,0.000469
0.655,0.000301
0.66,0.00019
0.665,0.000118
0.67,0.000073
0.675,0.000044
0.68,0.000026
0.685,0.000015
0.69,0.000009
0.695,0.000005
0.7,0.000003
0.705,0.000002
0.71,0.000001
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
