x,f(x)
0,0.000004
0.005,-0.000005
0.01,0.000013
0.015,-0.000023
0.02,0.000036
0.025,-0.000046
0.03,0.000038
0.035,0.000002
0.04,-0.000072
0.045,0.000139
0.05,-0.000134
0.055,0.000012
0.06,0.00017
0.065,-0.000234
0.07,0.000042
0.075,0.000268
0.08,-0.000306
0.085,-0.000094
0.09,0.000461
0.095,-0.000169
0.1,-0.000487
0.105,0.00042
0.11,0.000451
0.115,-0.00062
0.12,-0.000439
0.125,0.000768
0.13,0.000525
0.135,-0.000843
0.14,-0.000759
0.145,0.000766
0.15,0.001134
0.155,-0.000381
0.16,-0.001482
0.165,-0.000457
0.17,0.001368
0.175,0.001573
0.18,-0.000217
0.185,-0.002022
0.19,-0.001842
0.195,0.000329
0.2,0.002657
0.205,0.003138
0.21,0.001099
0.215,-0.00243
0.22,-0.005311
0.225,-0.005175
0.23,-0.000064
0.235,0.011309
0.24,0.029589
0.245,0.054933
0.25,0.087143
0.255,0.125822
0.26,0.170355
0.265,0.220134
0.27,0.27423
0.275,0.332028
0.28,0.392309
0.285,0.454408
0.29,0.517263
0.295,0.579563
0.3,0.641089
0.305,0.699974
0.31,0.755693
0.315,0.807939
0.32,0.854651
0.325,0.89582
0.33,0.931543
0.335,0.959679
0.34,0.980224
0.345,0.994373
0.35,1.000416
0.355,0.997351
0.36,0.98731
0.365,0.97068
0.37,0.945385
0.375,0.912046
0.38,0.873648
0.385,0.830472
0.39,0.780647
0.395,0.724967
0.4,0.666884
0.405,0.608034
0.41,0.547072
0.415,0.483265
0.42,0.418931
0.425,0.357472
0.43,0.300231
0.435,0.246159
0.44,0.194137
0.445,0.144977
0.45,0.101254
0.455,0.065625
0.46,0.039316
0.465,0.021746
0.47,0.011107
0.475,0.005245
0.48,0.002293
0.485,0.00093
0.49,0.00035
0.495,0.000123
0.5,0.00004
0.505,0.000012
0.51,0.000003
0.515,0.000001
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
