x,f(x)
0,-0.000277
0.005,-0.000106
0.01,0.000662
0.015,0.000279
0.02,-0.000295
0.025,0.000166
0.03,-0.000215
0.035,-0.000737
0.04,0.00027
0.045,0.000475
0.05,-0.000434
0.055,0.000271
0.06,0.001013
0.065,-0.000259
0.07,-0.000519
0.075,0.000932
0.08,0.000446
0.085,-0.001087
0.09,-0.000049
0.095,0.00129
0.1,-0.000247
0.105,-0.00138
0.11,0.000504
0.115,0.001467
0.12,-0.000665
0.125,-0.00158
0.13,0.000707
0.135,0.001743
0.14,-0.000595
0.145,-0.001943
0.15,0.000282
0.155,0.002125
0.16,0.000247
0.165,-0.00213
0.17,-0.001029
0.175,0.001867
0.18,0.001803
0.185,-0.001016
0.19,-0.002411
0.195,-0.00031
0.2,0.002379
0.205,0.001654
0.21,-0.001087
0.215,-0.002614
0.22,-0.000921
0.225,0.002137
0.23,0.002431
0.235,0.000217
0.24,-0.002153
0.245,-0.002791
0.25,-0.000259
0.255,0.002617
0.26,0.002691
0.265,0.00107
0.27,-0.001532
0.275,-0.003913
0.28,-0.002822
0.285,0.000597
0.29,0.002909
0.295,0.004504
0.3,0.004583
0.305,0.000572
0.31,-0.004688
0.315,-0.007252
0.32,-0.008138
0.325,-0.006307
0.33,0.003172
0.335,0.020195
0.34,0.041495
0.345,0.069341
0.35,0.106645
0.355,0.149664
0.36,0.195172
0.365,0.246385
0.37,0.304661
0.375,0.364809
0.38,0.423912
0.385,0.485453
0.39,0.55057
0.395,0.613912
0.4,0.671908
0.405,0.727582
0.41,0.783334
0.415,0.83515
0.42,0.878176
0.425,0.913544
0.43,0.945216
0.435,0.972699
0.44,0.991251
0.445,0.998577
0.45,0.997607
0.455,0.991888
0.46,0.980733
0.465,0.960565
0.47,0.929931
0.475,0.891504
0.48,0.849135
0.485,0.80405
0.49,0.754488
0.495,0.698589
0.5,0.637044
0.505,0.573004
0.51,0.509818
0.515,0.448978
0.52,0.389906
0.525,0.331356
0.53,0.273041
0.535,0.216327
0.54,0.163758
0.545,0.117963
0.55,0.08069
0.555,0.052371
0.56,0.032257
0.565,0.018868
0.57,0.010492
0.575,0.005552
0.58,0.0028
0.585,0.001347
0.59,0.000619
0.595,0.000272
0.6,0.000114
0.605,0.000046
0.61,0.000018
0.615,0.000007
0.62,0.000002
0.625,0.000001
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,0
0.885,0
0.89,0
0.895,0
0.9,0
0.905,0
0.91,0
0.915,0
0.92,0
0.925,0
0.93,0
0.935,0
0.94,0
0.945,0
0.95,0
0.955,0
0.96,0
0.965,0
0.97,0
0.975,0
0.98,0
0.985,0
0.99,0
0.995,0
1,0
